phase,case_id,amplitude_mode,nodes,coverage_fraction,fusion_count,shadow_rmse_e_deg,active_rmse_e_deg,active_improvement_fraction,scheme4_shadow_difference_e_deg,scheme4_active_difference_e_deg,control_angle_improvement,control_angle_gate_basis,id_rms_improvement,prediction_residual_improvement,torque_ripple_improvement,iq_tracking_change,mean_torque_change,lut_drift_e_deg,tangent_rms,radial_rms,valid_fraction
FROZEN_PAIR,periodic_1x,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.771208066183815,percentage,0.842478967266812,0.585247916049578,0.882786156822779,-0.889061713050519,0.000414829425905834,NaN,NaN,NaN,NaN
FROZEN_PAIR,periodic_2x,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.563778929130403,quantization_floor,0.687684246257085,0.336426750244335,0.635239675145037,-0.522483654679636,3.96779760412533e-05,NaN,NaN,NaN,NaN
FROZEN_PAIR,periodic_combined,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.80726906463159,percentage,0.86746064504845,0.60359477213405,0.937654931419769,-0.933353004356477,0.00148808186384983,NaN,NaN,NaN,NaN
CONDITION_DRIFT,speed_-20radps_m,,NaN,1,11,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,0.322389703190035,NaN,NaN,NaN
CONDITION_DRIFT,speed_-10radps_m,,NaN,1,6,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,0.388074531534366,NaN,NaN,NaN
CONDITION_DRIFT,speed_-05radps_m,,NaN,1,6,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,0.649735604366701,NaN,NaN,NaN
CONDITION_DRIFT,speed_+05radps_m,,NaN,1,5,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,0.766025679536367,NaN,NaN,NaN
CONDITION_DRIFT,speed_+10radps_m,,NaN,1,6,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,0.126814954381619,NaN,NaN,NaN
CONDITION_DRIFT,speed_+20radps_m,,NaN,1,11,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,0.0896919399662495,NaN,NaN,NaN
CONDITION_DRIFT,load_0Nm,,NaN,1,7,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,0.227038450703786,NaN,NaN,NaN
CONDITION_DRIFT,load_2Nm,,NaN,1,5,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,0.318466226137041,NaN,NaN,NaN
