node,phi_m_rad,shadow_e_rad,active_e_rad,reference_e_rad,valid,node_weight,node_hits
0,0,0.0713969376147518,0.0701417854528517,0.0758696657944137,1,1617.64598918007,3149
1,0.098174770424681,0.10697207335051,0.104994083687452,0.110945394879258,1,1668.7432608337,3346
2,0.196349540849362,0.138867562193953,0.136469278952818,0.142618125010304,1,1737.47388874012,3492
3,0.294524311274043,0.16567712953145,0.162493843853322,0.169445709159238,1,1822.82461092803,3544
4,0.392699081698724,0.187880054215944,0.184645643118343,0.191659540605051,1,1912.52340784696,3715
5,0.490873852123405,0.205875641065896,0.202039234828333,0.209396359896922,1,2001.03912214668,4008
6,0.589048622548086,0.218199687264345,0.213920785128799,0.2219106088964,1,2081.54202984629,4043
7,0.687223392972767,0.226366109188931,0.221999550659582,0.229774728491228,1,2136.38020473488,4153
8,0.785398163397448,0.228750814593215,0.224358190753974,0.232424246360601,1,2166.14116456105,4210
9,0.883572933822129,0.226993292472608,0.222569775097395,0.230787125461994,1,2162.81071647718,4204
10,0.98174770424681,0.221364118321692,0.217103467486684,0.225251131182646,1,2135.99416340956,4272
11,1.07992247467149,0.211973063367593,0.207857563634023,0.216248325600934,1,2087.17388691528,4058
12,1.17809724509617,0.200621423775212,0.196852982679371,0.204605494680599,1,2031.83764891459,3954
13,1.27627201552085,0.185704851930668,0.182277194037919,0.190136570678017,1,1967.4860354166,3824
14,1.37444678594553,0.169310244295322,0.166247030679828,0.174372010204357,1,1902.3658972489,3934
15,1.47262155637022,0.154729188551692,0.152002640385389,0.159012590468882,1,1849.59619108188,3593
16,1.5707963267949,0.13854220020346,0.13622481427579,0.143289960438036,1,1802.32838636897,3502
17,1.66897109721958,0.123549084498209,0.12134583194309,0.128403905123616,1,1761.32135061213,3426
18,1.76714586764426,0.110527079262412,0.108690316351014,0.115235391755108,1,1732.12219980622,3366
19,1.86532063806894,0.0983798341887519,0.0965077011114617,0.103408868749712,1,1706.01723810165,3316
20,1.96349540849362,0.0888422027447764,0.0872147593100858,0.0938663999552152,1,1688.86566429053,3285
21,2.0616701789183,0.0813636891882241,0.0799071574420996,0.0865702532992128,1,1674.87918330843,3457
22,2.15984494934298,0.0769818635587765,0.075561306072603,0.0817158904415944,1,1667.17468716416,3238
23,2.25801971976766,0.0739084296462141,0.0726692074594948,0.0788273028315387,1,1661.20754075703,3229
24,2.35619449019234,0.0730490548218312,0.0717875214508432,0.0778516644230959,1,1659.59543169211,3223
25,2.45436926061703,0.0735342993406724,0.0722473473958272,0.0782936609820709,1,1658.35210695972,3220
26,2.55254403104171,0.0754101164823597,0.0740646615910454,0.0800875335644107,1,1659.97261561306,3229
27,2.65071880146639,0.0778862749276208,0.0764732347285674,0.0822997365537976,1,1663.27045108804,3332
28,2.74889357189107,0.0796546762535285,0.0782129121395564,0.0841321005750652,1,1667.06511733307,3239
29,2.84706834231575,0.0809169900318802,0.0794284521333218,0.085133588019364,1,1669.4885076552,3343
30,2.94524311274043,0.080438730009921,0.0789873400463324,0.0847333299818973,1,1671.91303515422,3250
31,3.04341788316511,0.0784313304886632,0.0771099099012304,0.0825350983122363,1,1671.226103151,3249
32,3.14159265358979,0.0739569670662498,0.0726794239571585,0.0780512693753549,1,1651.88735590831,3175
33,3.23976742401447,0.0663572155463295,0.0652070296220792,0.0703312471496424,1,1522.67481608118,2998
