node,phi_m_rad,shadow_e_rad,active_e_rad,reference_e_rad,valid,update_hits,effective_weight,innovation_variance
0,0,0.0706192797389751,0.0698393625609549,0.0758696657944137,1,3149,1617.64598918007,3.1212601132239e-08
1,0.098174770424681,0.105889515800494,0.10448642523063,0.110945394879258,1,3346,1668.7432608337,3.44890746718588e-08
2,0.196349540849362,0.13810288077405,0.135896686560332,0.142618125010304,1,3492,1737.47388874012,3.87352808522077e-08
3,0.294524311274043,0.165554022014242,0.162166218709713,0.169445709159238,1,3544,1822.82461092803,4.45572534894854e-08
4,0.392699081698724,0.185915440933376,0.183278315748337,0.191659540605051,1,3715,1912.52340784696,4.87966871968196e-08
5,0.490873852123405,0.205832648214018,0.201740270553311,0.209396359896922,1,4008,2001.03912214668,5.00387392508013e-08
6,0.589048622548086,0.217553326923669,0.21307234434363,0.2219106088964,1,4043,2081.54202984629,5.39491438635684e-08
7,0.687223392972767,0.226179803435366,0.221612956320937,0.229774728491228,1,4153,2136.38020473488,5.46900350988509e-08
8,0.785398163397448,0.228076430588406,0.223524842589422,0.232424246360601,1,4210,2166.14116456105,5.51499307589649e-08
9,0.883572933822129,0.22708032519437,0.221937263542684,0.230787125461994,1,4204,2162.81071647718,5.37748919369267e-08
10,0.98174770424681,0.220449025107303,0.216425485136779,0.225251131182646,1,4272,2135.99416340956,5.12239287246236e-08
11,1.07992247467149,0.212930629474835,0.20786188302165,0.216248325600934,1,4058,2087.17388691528,5.10944127962448e-08
12,1.17809724509617,0.200473269071883,0.196101850637174,0.204605494680599,1,3954,2031.83764891459,4.91414821007898e-08
13,1.27627201552085,0.185933186828537,0.181276502780219,0.190136570678017,1,3824,1967.4860354166,4.62802130743673e-08
14,1.37444678594553,0.169704265336415,0.165523063269562,0.174372010204357,1,3934,1902.3658972489,4.11993147954216e-08
15,1.47262155637022,0.153667224200998,0.150677185055163,0.159012590468882,1,3593,1849.59619108188,4.23438040085135e-08
16,1.5707963267949,0.136916310810657,0.134401069564542,0.143289960438036,1,3502,1802.32838636897,3.96357153060903e-08
17,1.66897109721958,0.12267880485755,0.120677593186804,0.128403905123616,1,3426,1761.32135061213,3.74018682397449e-08
