node,active_e_rad
0,0.0722569277161357
1,0.0733712320065922
2,0.0744855362970486
3,0.075599840587505
4,0.0767141448779614
5,0.0786108858283853
6,0.0805076267788091
7,0.082404367729233
8,0.0843011086796568
9,0.0858541905309859
10,0.087407272382315
11,0.0889603542336441
12,0.0905134360849732
13,0.0916678021605479
14,0.0928221682361227
15,0.0939765343116974
16,0.0951309003872722
17,0.0960762453810039
18,0.0970215903747356
19,0.0979669353684673
20,0.098912280362199
21,0.0997491760708564
22,0.100586071779514
23,0.101422967488171
24,0.102259863196829
25,0.102434033139584
26,0.102608203082339
27,0.102782373025095
28,0.10295654296785
29,0.103154456738593
30,0.103352370509335
31,0.103550284280077
32,0.10374819805082
33,0.103777981732427
34,0.103807765414034
35,0.103837549095641
36,0.103867332777248
37,0.10338481978579
38,0.102902306794332
39,0.102419793802874
40,0.101937280811416
41,0.101454833675452
42,0.100972386539489
43,0.100489939403525
44,0.100007492267561
45,0.0991046964771562
46,0.0982019006867512
47,0.0972991048963462
48,0.0963963091059411
49,0.0952020871734497
50,0.0940078652409584
51,0.092813643308467
52,0.0916194213759756
53,0.0902613704516869
54,0.0889033195273983
55,0.0875452686031096
56,0.0861872176788209
57,0.0845940881904122
58,0.0830009587020035
59,0.0814078292135948
60,0.0798146997251861
61,0.0780775575977078
62,0.0763404154702296
63,0.0746032733427514
64,0.0728661312152731
65,0.0708147215247604
66,0.0687633118342476
67,0.0667119021437349
68,0.0646604924532221
69,0.0625581523537516
70,0.0604558122542811
71,0.0583534721548106
72,0.0562511320553402
73,0.0538849730099584
74,0.0515188139645766
75,0.0491526549191948
76,0.046786495873813
77,0.0448438117253334
78,0.0429011275768539
79,0.0409584434283743
80,0.0390157592798948
81,0.0360837992327247
82,0.0331518391855545
83,0.0302198791383843
84,0.0272879190912142
85,0.0246927644986656
86,0.022097609906117
87,0.0195024553135683
88,0.0169073007210197
89,0.0142599980926731
90,0.0116126954643265
91,0.00896539283597997
92,0.0063180902076334
93,0.0037387254447908
94,0.00115936068194813
95,-0.0014200040808945
96,-0.00399936884373714
97,-0.00681413564252144
98,-0.00962890244130573
99,-0.0124436692400901
100,-0.0152584360388743
101,-0.0178463348371909
102,-0.0204342336355074
103,-0.0230221324338239
104,-0.0256100312321405
105,-0.0283914044392594
106,-0.0311727776463783
107,-0.0339541508534972
108,-0.0367355240606161
109,-0.0392707542971897
110,-0.0418059845337633
111,-0.0443412147703369
112,-0.0468764450069105
113,-0.0489220531014221
114,-0.0509676611959336
115,-0.0530132692904452
116,-0.0550588773849567
117,-0.057444683031876
118,-0.0598304886787953
119,-0.0622162943257146
120,-0.0646020999726338
121,-0.0668955111111371
122,-0.0691889222496403
123,-0.0714823333881436
124,-0.0737757445266468
125,-0.0757168437524678
126,-0.0776579429782889
127,-0.0795990422041099
128,-0.0815401414299309
129,-0.083373532251828
130,-0.085206923073725
131,-0.0870403138956221
132,-0.0888737047175192
133,-0.0904484458167679
134,-0.0920231869160167
135,-0.0935979280152655
136,-0.0951726691145142
137,-0.0966153834952174
138,-0.0980580978759205
139,-0.0995008122566236
140,-0.100943526637327
141,-0.101992249330436
142,-0.103040972023545
143,-0.104089694716655
144,-0.105138417409764
145,-0.105905879441075
146,-0.106673341472385
147,-0.107440803503696
148,-0.108208265535006
149,-0.108908374661531
150,-0.109608483788055
151,-0.11030859291458
152,-0.111008702041104
153,-0.111280852929339
154,-0.111553003817573
155,-0.111825154705808
156,-0.112097305594042
157,-0.112333799190584
158,-0.112570292787125
159,-0.112806786383667
160,-0.113043279980208
161,-0.112801675889068
162,-0.112560071797927
163,-0.112318467706786
164,-0.112076863615646
165,-0.111702663702507
166,-0.111328463789368
167,-0.11095426387623
168,-0.110580063963091
169,-0.10994319758508
170,-0.10930633120707
171,-0.108669464829059
172,-0.108032598451049
173,-0.107053261018377
174,-0.106073923585705
175,-0.105094586153033
176,-0.104115248720361
177,-0.102955569364004
178,-0.101795890007646
179,-0.100636210651289
180,-0.0994765312949322
181,-0.0979875784016478
182,-0.0964986255083635
183,-0.0950096726150792
184,-0.0935207197217949
185,-0.0920668650262856
186,-0.0906130103307763
187,-0.089159155635267
188,-0.0877053009397577
189,-0.0857895715484903
190,-0.083873842157223
191,-0.0819581127659556
192,-0.0800423833746882
193,-0.0780752586131909
194,-0.0761081338516935
195,-0.0741410090901961
196,-0.0721738843286988
197,-0.0703112987124781
198,-0.0684487130962574
199,-0.0665861274800367
200,-0.0647235418638161
201,-0.062447686872422
202,-0.0601718318810279
203,-0.0578959768896338
