node,phi_m_rad,shadow_e_rad,active_e_rad,reference_e_rad,valid,node_weight,node_hits
0,0,0.345023663712116,0.33571728777493,0.349136059525828,1,1962.62181950202,3818
1,0.098174770424681,0.344006646772395,0.334702027481015,0.348689469031424,1,1960.25246004731,3936
2,0.196349540849362,0.344585438564282,0.335045281675437,0.348805494789744,1,1960.94235975026,3928
3,0.294524311274043,0.344045491731525,0.334834217972282,0.348612868288798,1,1958.45504961209,3808
4,0.392699081698724,0.34459385036821,0.335246380898965,0.348870646370836,1,1959.8873862207,3810
5,0.490873852123405,0.344277215577954,0.334933259591601,0.348759536033531,1,1960.69207842103,3928
6,0.589048622548086,0.344266675812729,0.334901160580804,0.348691071509249,1,1958.82855182103,3806
7,0.687223392972767,0.344489059285489,0.33518542028418,0.34896805498472,1,1961.06876625508,3814
8,0.785398163397448,0.344560103009316,0.335208918662873,0.349007016875792,1,1962.05780980505,3813
9,0.883572933822129,0.344472614470912,0.33512036117309,0.348908479690572,1,1961.49846485614,3815
10,0.98174770424681,0.34431508202003,0.334917705016746,0.348740595063964,1,1959.44843174905,3930
11,1.07992247467149,0.343906896973381,0.334591268070852,0.348406910543608,1,1957.58456081716,3803
12,1.17809724509617,0.344233429216824,0.334911766482767,0.348601881112052,1,1957.093562342,3803
13,1.27627201552085,0.344308187695867,0.335059092081647,0.348723339933547,1,1960.38524348694,3812
14,1.37444678594553,0.344103678091283,0.334798240419936,0.34867670324003,1,1958.64317278582,4047
15,1.47262155637022,0.344569519029401,0.335166508823162,0.348866530899614,1,1960.32137458129,3811
16,1.5707963267949,0.344447988292974,0.335106386421532,0.348775519692296,1,1960.6289524974,3810
17,1.66897109721958,0.343976271160523,0.334727530205196,0.348639121862168,1,1958.20812964626,3809
18,1.76714586764426,0.344612350925457,0.335179793835778,0.348959313710065,1,1960.32263680134,3812
19,1.86532063806894,0.344662140029337,0.335363345601358,0.348999971403382,1,1961.74949173086,3815
20,1.96349540849362,0.344418118612045,0.335114825513633,0.348922180053272,1,1960.87682689089,3814
21,2.0616701789183,0.344595793238985,0.335300000077583,0.348909495541588,1,1961.37550578033,4048
22,2.15984494934298,0.343842049188262,0.334463215597791,0.348580653789939,1,1958.94990634396,3812
23,2.25801971976766,0.344562773213191,0.335150437918111,0.348819474047832,1,1959.57847092575,3810
24,2.35619449019234,0.34423627822133,0.334939773912214,0.348695661464889,1,1959.26218052596,3809
25,2.45436926061703,0.344316991332101,0.334957629823261,0.348746717185726,1,1959.699467825,3809
26,2.55254403104171,0.344328344031332,0.334916212458788,0.348760189127458,1,1959.57641844102,3811
27,2.65071880146639,0.344064076236381,0.334697501798478,0.348641200792741,1,1958.89015756283,3929
28,2.74889357189107,0.344832256642605,0.335459271853139,0.348952925343195,1,1960.38499396005,3810
29,2.84706834231575,0.344006503327813,0.334654159486004,0.348603434709844,1,1958.82607927758,3929
30,2.94524311274043,0.344355129794656,0.334984095786682,0.348762442570795,1,1958.83241052833,3811
31,3.04341788316511,0.344551908101428,0.335279253062238,0.348876343445208,1,1960.07264237644,3812
32,3.14159265358979,0.344398680248504,0.335166206886109,0.348909654892166,1,1960.94134972639,3812
33,3.23976742401447,0.34445026960828,0.334999503086714,0.348869982065568,1,1961.00281294739,3813
34,3.33794219443916,0.344536573254781,0.335219278481654,0.348923244894286,1,1961.37511905462,3936
35,3.43611696486384,0.344269729667657,0.334953122013355,0.34870985458468,1,1959.82100964541,3928
36,3.53429173528852,0.344453249494762,0.335162767233919,0.348803790929328,1,1959.51350488098,3806
37,3.6324665057132,0.344522879143537,0.335070425895923,0.348917437119318,1,1902.51494984333,3739
38,3.73064127613788,0.344268625230437,0.335033274566699,0.348820990728214,1,1945.0389202216,3859
39,3.82881604656256,0.344781902110523,0.335280879014901,0.349097572175103,1,1961.68893665392,3816
40,3.92699081698724,0.3446067181471,0.335338637551823,0.349050033136281,1,1963.54620923515,3815
41,4.02516558741192,0.344604871421931,0.335273726316156,0.348974498071554,1,1961.684783906,3812
42,4.1233403578366,0.344247907494579,0.334950539485592,0.348720951029845,1,1959.69471550858,3814
