node,active_e_rad
0,0.0670214910212566
1,0.071805004154712
2,0.0765885172881675
3,0.0813720304216229
4,0.0861555435550783
5,0.090147788750979
6,0.0941400339468796
7,0.0981322791427803
8,0.102124524338681
9,0.106109080644917
10,0.110093636951152
11,0.114078193257388
12,0.118062749563624
13,0.121954801768941
14,0.125846853974258
15,0.129738906179575
16,0.133630958384892
17,0.137040316877316
18,0.14044967536974
19,0.143859033862163
20,0.147268392354587
21,0.150415514549638
22,0.153562636744688
23,0.156709758939739
24,0.159856881134789
25,0.162586276586904
26,0.165315672039019
27,0.168045067491134
28,0.170774462943249
29,0.173438538369105
30,0.17610261379496
31,0.178766689220816
32,0.181430764646671
33,0.183536292224912
34,0.185641819803152
35,0.187747347381393
36,0.189852874959633
37,0.192049009477193
38,0.194245143994753
39,0.196441278512313
40,0.198637413029873
41,0.200629177875777
42,0.20262094272168
43,0.204612707567583
44,0.206604472413486
45,0.207535524796307
46,0.208466577179127
47,0.209397629561948
48,0.210328681944768
49,0.211381731669564
50,0.21243478139436
51,0.213487831119156
52,0.214540880843953
53,0.215684821111586
54,0.21682876137922
55,0.217972701646853
56,0.219116641914487
57,0.219534190497933
58,0.219951739081378
59,0.220369287664824
60,0.22078683624827
61,0.220776277699619
62,0.220765719150968
63,0.220755160602316
64,0.220744602053665
65,0.220667623504208
66,0.22059064495475
67,0.220513666405293
68,0.220436687855836
69,0.220109834633853
70,0.21978298141187
71,0.219456128189888
72,0.219129274967905
73,0.21866326653657
74,0.218197258105235
75,0.2177312496739
76,0.217265241242565
77,0.216404253148803
78,0.215543265055041
79,0.214682276961279
80,0.213821288867517
81,0.212856722557511
82,0.211892156247505
83,0.210927589937499
84,0.209963023627493
85,0.208424884918325
86,0.206886746209156
87,0.205348607499988
88,0.20381046879082
89,0.203234926020123
90,0.202659383249426
91,0.202083840478729
92,0.201508297708032
93,0.19921863739975
94,0.196928977091467
95,0.194639316783185
96,0.192349656474903
97,0.190891213292758
98,0.189432770110614
99,0.187974326928469
100,0.186515883746325
101,0.184779387831882
102,0.18304289191744
103,0.181306396002998
104,0.179569900088555
105,0.177255913522085
106,0.174941926955615
107,0.172627940389144
108,0.170313953822674
109,0.168559418633315
110,0.166804883443956
111,0.165050348254597
112,0.163295813065238
113,0.161599533139205
114,0.159903253213171
115,0.158206973287138
116,0.156510693361105
117,0.154370070074131
118,0.152229446787158
119,0.150088823500184
120,0.147948200213211
121,0.146066309403771
122,0.144184418594331
123,0.142302527784891
124,0.14042063697545
125,0.138497153629186
126,0.136573670282922
127,0.134650186936657
128,0.132726703590393
129,0.130867360223573
130,0.129008016856753
131,0.127148673489933
132,0.125289330123113
133,0.123365553022304
134,0.121441775921496
135,0.119517998820688
136,0.117594221719879
137,0.116449606402219
138,0.115304991084559
139,0.114160375766899
140,0.113015760449239
141,0.110829474663377
142,0.108643188877515
143,0.106456903091654
144,0.104270617305792
145,0.103029965790819
146,0.101789314275845
147,0.100548662760872
148,0.0993080112458987
149,0.0979989143852684
150,0.0966898175246381
151,0.0953807206640078
152,0.0940716238033775
153,0.092828183857451
154,0.0915847439115245
155,0.090341303965598
156,0.0890978640196715
157,0.0880342962871782
158,0.0869707285546849
159,0.0859071608221916
160,0.0848435930896983
161,0.0835828606556984
162,0.0823221282216986
163,0.0810613957876987
164,0.0798006633536988
165,0.0792829917044489
166,0.0787653200551989
167,0.078247648405949
168,0.0777299767566991
169,0.0770001426918858
170,0.0762703086270726
171,0.0755404745622593
172,0.0748106404974461
173,0.074315687454523
174,0.0738207344115999
175,0.0733257813686769
176,0.0728308283257538
177,0.0723405100877727
178,0.0718501918497917
179,0.0713598736118106
180,0.0708695553738296
181,0.0705734393446835
182,0.0702773233155375
183,0.0699812072863914
184,0.0696850912572454
185,0.069577079708289
186,0.0694690681593327
187,0.0693610566103763
