node,phi_m_rad,shadow_e_rad,active_e_rad,reference_e_rad,valid,node_weight,node_hits
0,0,0.0825328023309317,0.081229630853533,0.0870147311477895,1,971.191458739252,1829
1,0.0490873852123405,0.0827781440934287,0.0816883756723328,0.0872180715735013,1,970.817479881288,1826
2,0.098174770424681,0.082450113339844,0.0812216521191169,0.0869089248899557,1,970.940837196667,1831
3,0.147262155637022,0.0824535443089536,0.0812971052224486,0.0869716866329311,1,971.191420437838,1949
4,0.196349540849362,0.0827912446023872,0.0816459417460309,0.0871765856452827,1,971.19147860244,1833
5,0.245436926061703,0.0822782425217986,0.0810704800195973,0.0869010346298818,1,970.317988300275,1949
6,0.294524311274043,0.0828326703748021,0.0817190708309213,0.0872115462307426,1,971.565605095289,1829
7,0.343611696486384,0.0828097249709113,0.0816109127607617,0.0872093043970433,1,971.563944605338,1827
8,0.392699081698724,0.0821974531873045,0.0809504040035805,0.0867754349516438,1,970.815043661397,1833
9,0.441786466911065,0.0827249383516786,0.0815338397139472,0.0871359826288911,1,971.191474511505,1946
10,0.490873852123405,0.0825169520507636,0.0813593630497976,0.087015589281669,1,971.5637078443,1946
11,0.539961237335746,0.0824575226370645,0.0812347996257591,0.0869868311664795,1,970.567432917125,1829
12,0.589048622548086,0.0831344694933826,0.0818974686217608,0.0874384166844938,1,971.564406523851,1948
13,0.638136007760427,0.0827025459272801,0.0814852226049105,0.0871867485960312,1,971.811946098387,1832
14,0.687223392972767,0.0826914819153776,0.0814923929333874,0.087213319470642,1,970.691698863628,1951
15,0.736310778185108,0.0828964297474907,0.0817107359862505,0.0872802729942621,1,971.936984929946,1831
16,0.785398163397448,0.0827745850664191,0.0816717522906373,0.0873240243750902,1,971.438054252314,1825
17,0.834485548609789,0.0830848852428653,0.0818967005206988,0.0874068255625741,1,972.18630471773,1830
18,0.883572933822129,0.0828724629802191,0.0816105710671098,0.0873405182574954,1,971.188060011538,1949
19,0.93266031903447,0.0825777448301421,0.0813988476792459,0.0870770393325635,1,971.810757860419,1831
20,0.98174770424681,0.0828386374270123,0.0816263540080781,0.087289803643322,1,971.189413082217,1826
21,1.03083508945915,0.0827307295967725,0.0815957626363878,0.0871869857905538,1,971.439329640619,1946
22,1.07992247467149,0.082547195802221,0.0812065684550397,0.0870537838652928,1,971.439317228811,1829
23,1.12900985988383,0.0826176444797432,0.0813665330782612,0.0870631574140213,1,971.562407860178,1832
24,1.17809724509617,0.0826543029215367,0.0815185843009021,0.0871657433203364,1,971.687296451716,1828
25,1.22718463030851,0.0826754985898569,0.0814998486560478,0.0871447753477396,1,971.687356293169,1833
26,1.27627201552085,0.0825665145364756,0.0812926241371501,0.0870331808408508,1,971.312527664615,1831
27,1.32535940073319,0.0826866063900399,0.0814667991841798,0.0871403151195153,1,971.688041839256,1945
28,1.37444678594553,0.0827606535522639,0.0815216782976376,0.0871628855334805,1,970.816591784767,1832
