node,phi_m_rad,shadow_e_rad,active_e_rad,reference_e_rad,valid
0,0,0.0697540908652745,0.069533031152357,0.0758696657944137,1
1,0.098174770424681,0.104887819055984,0.104062592141363,0.110945394879258,1
2,0.196349540849362,0.137369639928427,0.135558564603928,0.142618125010304,1
3,0.294524311274043,0.165023436191908,0.16197880452815,0.169445709159238,1
4,0.392699081698724,0.184753658212911,0.182439210474556,0.191659540605051,1
5,0.490873852123405,0.206237259712405,0.201435066285196,0.209396359896922,1
6,0.589048622548086,0.216944057125027,0.212009049676241,0.2219106088964,1
7,0.687223392972767,0.226023543895303,0.221290274078673,0.229774728491228,1
8,0.785398163397448,0.227761806706124,0.22283696221214,0.232424246360601,1
9,0.883572933822129,0.227105610367619,0.221248416291665,0.230787125461994,1
10,0.98174770424681,0.218802937794129,0.215634774273582,0.225251131182646,1
11,1.07992247467149,0.212704388114616,0.207918742066457,0.216248325600934,1
12,1.17809724509617,0.19988711700973,0.195589803475438,0.204605494680599,1
13,1.27627201552085,0.185591547734009,0.181027947402463,0.190136570678017,1
14,1.37444678594553,0.169185882019404,0.165663188277553,0.174372010204357,1
15,1.47262155637022,0.153228648698071,0.150704289101427,0.159012590468882,1
16,1.5707963267949,0.136160069621853,0.133981269202366,0.143289960438036,1
17,1.66897109721958,0.122278004083526,0.120937405448246,0.128403905123616,1
18,1.76714586764426,0.108922995512753,0.106750294590096,0.115235391755108,1
19,1.86532063806894,0.0975336361114983,0.0961597745888942,0.103408868749712,1
20,1.96349540849362,0.0898678852472317,0.086001651291101,0.0938663999552152,1
21,2.0616701789183,0.0810466187560617,0.0791698045660438,0.0865702532992128,1
22,2.15984494934298,0.0757481697011459,0.07452513072932,0.0817158904415944,1
23,2.25801971976766,0.0731359040849847,0.0713807696535584,0.0788273028315387,1
24,2.35619449019234,0.0725121600579028,0.0703970404966685,0.0778516644230959,1
25,2.45436926061703,0.0719421078819299,0.0710809837382156,0.0782936609820709,1
26,2.55254403104171,0.0744415020840811,0.0730621529384287,0.0800875335644107,1
27,2.65071880146639,0.0767794019284678,0.0755338823188168,0.0822997365537976,1
28,2.74889357189107,0.0787187493885805,0.0771155073972157,0.0841321005750652,1
29,2.84706834231575,0.0802405057526254,0.0787381703289762,0.085133588019364,1
30,2.94524311274043,0.0795459029872809,0.0778166565776496,0.0847333299818973,1
31,3.04341788316511,0.077427026665348,0.0760022706662737,0.0825350983122363,1
32,3.14159265358979,0.0735867410860939,0.0714034048547233,0.0780512693753549,1
33,3.23976742401447,0.066352054211505,0.0640403986187795,0.0703312471496424,1
34,3.33794219443916,0.0537066535703112,0.0527742959601776,0.058665948633912,1
35,3.43611696486384,0.0389200263122405,0.0381578426533832,0.0439654856296086,1
36,3.53429173528852,0.0213104293412405,0.0207796325261777,0.0256847814379784,1
37,3.6324665057132,-0.00111066896024385,-0.00115861770515902,0.00394681590252977,1
38,3.73064127613788,-0.0255846159609824,-0.0252247191404123,-0.021047475678981,1
39,3.82881604656256,-0.0554872241400305,-0.053598932497236,-0.0497835776734566,1
40,3.92699081698724,-0.083267100585184,-0.0822074097006868,-0.0795483954044758,1
41,4.02516558741192,-0.115966370939845,-0.115512404563417,-0.11177177523863,1
42,4.1233403578366,-0.148019827202634,-0.145404026314885,-0.142990779529074,1
43,4.22151512826128,-0.180359911031012,-0.177371992651717,-0.17531410445035,1
44,4.31968989868597,-0.210970044828893,-0.20729184293816,-0.205869510786178,1
45,4.41786466911065,-0.23943669331237,-0.234906269368674,-0.234401056415332,1
46,4.51603943953533,-0.266067119865457,-0.261560850140987,-0.260802448609144,1
47,4.61421420996001,-0.287539497377877,-0.28187587733588,-0.282262850151409,1
48,4.71238898038469,-0.306336155102362,-0.298938292171789,-0.298928802119393,1
49,4.81056375080937,-0.317421810554537,-0.309178200440977,-0.310442309746037,1
50,4.90873852123405,-0.323324527717126,-0.314955743631788,-0.316332926291406,1
51,5.00691329165873,-0.3232174420175,-0.31528753821904,-0.316562177378035,1
52,5.10508806208341,-0.317633938697966,-0.30970860244866,-0.310254659434933,1
53,5.20326283250809,-0.304060072807735,-0.297471708915567,-0.298101485495759,1
54,5.30143760293278,-0.286928386036142,-0.281624893998645,-0.280835319053602,1
55,5.39961237335746,-0.264283391913018,-0.258477456051648,-0.257632337500456,1
56,5.49778714378214,-0.234967928708011,-0.230149774363452,-0.229213712208644,1
57,5.59596191420682,-0.205161116638856,-0.200674043329427,-0.197751316831481,1
58,5.6941366846315,-0.165633848809954,-0.164056851521657,-0.161263216830106,1
59,5.79231145505618,-0.1272616327247,-0.125622152438363,-0.122499591109464,1
60,5.89048622548086,-0.087044991607423,-0.0865827924473536,-0.082708616153086,1
61,5.98866099590554,-0.0445986026610439,-0.0464124663393195,-0.0415538058835246,1
62,6.08683576633022,-0.00691249689443429,-0.0062654634212563,-0.00125425510135423,1
63,6.18501053675491,0.0334797985794283,0.0331928675916627,0.0389374892311693,1
