condition,scheme4_active_rmse_e_deg,scheme5_active_rmse_e_deg,scheme2_active_rmse_e_deg,scheme4_storage_bytes,scheme5_storage_bytes,scheme2_storage_bytes,scheme4_sample_ops_estimate,scheme5_sample_ops_estimate,scheme2_sample_ops_estimate,cost_estimate_policy
zero_noise,0.304029573328837,0.438354357204274,0.337024967632965,10282,5272,9482,24,32,20,scalar operation estimate; transcendental cost listed separately
noise95_pm0p1A,0.305598469314186,0.437110490576611,0.337770265582154,10290,5295,9474,24,32,20,scalar operation estimate; transcendental cost listed separately
