node,phi_m_rad,shadow_e_rad,active_e_rad,reference_e_rad,valid
0,0,0.0693951512285316,0.062424518830812,0.0756078617994822,1
1,0.098174770424681,0.106300273603757,0.0958962484846067,0.111299172561946,1
2,0.196349540849362,0.13636582769314,0.123732463534846,0.142501066603249,1
3,0.294524311274043,0.163298080200827,0.147846373737156,0.169145257324891,1
4,0.392699081698724,0.181146473340605,0.167313536907971,0.190902723538978,1
5,0.490873852123405,0.204498966195386,0.184967221481668,0.209477507994269,1
6,0.589048622548086,0.214077210179925,0.194820446053235,0.221860633350581,1
7,0.687223392972767,0.224668585987282,0.204192032496541,0.230226425851538,1
8,0.785398163397448,0.2261308090696,0.204534794128051,0.233303732819237,1
9,0.883572933822129,0.22791213811695,0.207752226173741,0.232320843114701,1
10,0.98174770424681,0.219044113856024,0.194780171432752,0.225982948550643,1
11,1.07992247467149,0.210587652827965,0.191211391224239,0.216376623158734,1
12,1.17809724509617,0.197473560682623,0.180849711681992,0.204778608798276,1
13,1.27627201552085,0.184576023662241,0.167827550732718,0.190638816885648,1
14,1.37444678594553,0.167216031606598,0.15244550290014,0.174778093354448,1
15,1.47262155637022,0.152694600666922,0.138708461716292,0.159124835464181,1
16,1.5707963267949,0.137261532869321,0.125047028966547,0.144474947361093,1
17,1.66897109721958,0.120723663859011,0.11044209624697,0.128450757421839,1
18,1.76714586764426,0.107568235277659,0.097639152119651,0.114857571502556,1
19,1.86532063806894,0.0961305347927782,0.0876739046523315,0.103279194684026,1
20,1.96349540849362,0.0863630668330061,0.0785118909879351,0.0937161410364162,1
21,2.0616701789183,0.0791862820576828,0.0724801517899693,0.0866490327968993,1
22,2.15984494934298,0.0748849871817644,0.0680113496580837,0.0818588416605762,1
23,2.25801971976766,0.0722429759594894,0.0655561352866232,0.0789508720225015,1
24,2.35619449019234,0.071211223620926,0.064577355695395,0.0779353465617662,1
25,2.45436926061703,0.0717107430044337,0.0654055319429734,0.0785597968137904,1
26,2.55254403104171,0.0748068634781042,0.0670342609991964,0.080170261463434,1
27,2.65071880146639,0.0759188822671021,0.0687011535159962,0.0823944234009379,1
28,2.74889357189107,0.0772004903110043,0.0705673262683615,0.0841683124896331,1
29,2.84706834231575,0.0786960797562136,0.0712218315030699,0.0851119461304064,1
30,2.94524311274043,0.079248655121798,0.0715519235459222,0.0850017861211831,1
31,3.04341788316511,0.0762726980930508,0.0693691831031859,0.0827220035440585,1
32,3.14159265358979,0.071097387793779,0.0652883481940201,0.0778225930777442,1
33,3.23976742401447,0.0646270063279107,0.0582776493853254,0.0699133930603048,1
34,3.33794219443916,0.0520341703667519,0.047049634338933,0.0583904052793822,1
35,3.43611696486384,0.039275555874269,0.0344022592745576,0.0442826449187629,1
36,3.53429173528852,0.0202345830005089,0.0177046987779718,0.0261998420696472,1
37,3.6324665057132,-0.00179984767601618,-0.0020495821844019,0.00398589367121788,1
38,3.73064127613788,-0.027168003103358,-0.024658179678874,-0.0210309942490104,1
39,3.82881604656256,-0.0576389053124789,-0.0518461796696748,-0.04981554486913,1
40,3.92699081698724,-0.0854910200274172,-0.0777177078761838,-0.0794954103987437,1
41,4.02516558741192,-0.119904421080108,-0.108986309111344,-0.111447320000628,1
42,4.1233403578366,-0.14476318011426,-0.132331642127922,-0.140794484612502,1
43,4.22151512826128,-0.182192783026919,-0.165254374176845,-0.174697696523673,1
44,4.31968989868597,-0.212842238040529,-0.193150544855736,-0.206280823302851,1
45,4.41786466911065,-0.243793151908593,-0.220013915391611,-0.235194738286835,1
46,4.51603943953533,-0.264423033916009,-0.237561615589747,-0.258956020184934,1
47,4.61421420996001,-0.290238839822626,-0.258603161133476,-0.282296476868331,1
48,4.71238898038469,-0.306451401728042,-0.271341015675838,-0.298920413991415,1
49,4.81056375080937,-0.318805041577921,-0.280994490589536,-0.311557170834071,1
50,4.90873852123405,-0.329080186815221,-0.28847356228342,-0.320828336661886,1
51,5.00691329165873,-0.326971121957273,-0.287040457801853,-0.318817252611624,1
52,5.10508806208341,-0.321394591213253,-0.282797165266081,-0.313408463339801,1
53,5.20326283250809,-0.306253210715769,-0.271338264705721,-0.298591758501407,1
54,5.30143760293278,-0.290308536491653,-0.258678077050941,-0.281962640244319,1
55,5.39961237335746,-0.265213967963078,-0.238281453309819,-0.257540775797467,1
56,5.49778714378214,-0.23798903576736,-0.215152177008931,-0.230032739547461,1
57,5.59596191420682,-0.204176790624476,-0.184974689475824,-0.197968303581518,1
58,5.6941366846315,-0.170923277972608,-0.154192347083119,-0.162755823319293,1
59,5.79231145505618,-0.129718827969441,-0.116641653868018,-0.123259140264987,1
60,5.89048622548086,-0.0889764650861849,-0.0794593301304287,-0.0824802422765157,1
61,5.98866099590554,-0.0455875188700462,-0.04320143062664,-0.0415315073673368,1
62,6.08683576633022,-0.00638508600903403,-0.00546956004291297,-0.000667007398840382,1
63,6.18501053675491,0.0327213999530155,0.0304551106004841,0.0385764697943027,1
