node,shadow_e_rad,active_e_rad
0,0.0713969376147518,0.0701417854528517
1,0.10697207335051,0.104994083687452
2,0.138867562193953,0.136469278952818
3,0.16567712953145,0.162493843853322
4,0.187880054215944,0.184645643118343
5,0.205875641065896,0.202039234828333
6,0.218199687264345,0.213920785128799
7,0.226366109188931,0.221999550659582
8,0.228750814593215,0.224358190753974
9,0.226993292472608,0.222569775097395
10,0.221364118321692,0.217103467486684
11,0.211973063367593,0.207857563634023
12,0.200621423775212,0.196852982679371
13,0.185704851930668,0.182277194037919
14,0.169310244295322,0.166247030679828
15,0.154729188551692,0.152002640385389
16,0.13854220020346,0.13622481427579
17,0.123549084498209,0.12134583194309
18,0.110527079262412,0.108690316351014
19,0.0983798341887519,0.0965077011114617
20,0.0888422027447764,0.0872147593100858
21,0.0813636891882241,0.0799071574420996
22,0.0769818635587765,0.075561306072603
23,0.0739084296462141,0.0726692074594948
24,0.0730490548218312,0.0717875214508432
25,0.0735342993406724,0.0722473473958272
26,0.0754101164823597,0.0740646615910454
27,0.0778862749276208,0.0764732347285674
28,0.0796546762535285,0.0782129121395564
29,0.0809169900318802,0.0794284521333218
30,0.080438730009921,0.0789873400463324
31,0.0784313304886632,0.0771099099012304
32,0.0739569670662498,0.0726794239571585
33,0.0663572155463295,0.0652070296220792
34,0.0545187409023333,0.0535597299704193
35,0.0400161572868172,0.0392641463174731
36,0.0216442899567154,0.0212059293959856
37,-9.78557072209148e-05,-0.000262055087351171
38,-0.0249215086838843,-0.0244583328884837
39,-0.0535666705089087,-0.05263849427311
40,-0.083265576355183,-0.0818174279309249
41,-0.116604775465894,-0.11468182071516
42,-0.146663179954477,-0.143960039612947
43,-0.179792879092274,-0.176635126052163
44,-0.210283463184995,-0.206406935636969
45,-0.238556236669664,-0.233834813693089
46,-0.265799874247318,-0.260234247656679
47,-0.287045714487997,-0.280670253641728
48,-0.303961776471947,-0.296630565732597
49,-0.315852146222155,-0.308136445947386
50,-0.321651412579548,-0.313677195005367
51,-0.322276800965462,-0.314289786621888
52,-0.315675180113347,-0.307838190224169
53,-0.30322335279478,-0.296099451607033
54,-0.286154775139562,-0.279680549851796
55,-0.262693643140966,-0.257175471465574
56,-0.233647486273544,-0.229122931465288
57,-0.202955829471748,-0.198983731418823
58,-0.165746796243504,-0.162801782255339
59,-0.126768377689874,-0.124445859920223
60,-0.0875184563146628,-0.085964510006951
61,-0.0456252133591783,-0.0449661437400082
62,-0.00596229761102211,-0.00597049558673701
63,0.0351961570177261,0.0346424671134746
