case_id,lut_drift_e_rad,lut_drift_e_deg,coverage_fraction,solve_count
speed_-20radps_m,0.00148415473061276,0.085035802208487,1,11
speed_-10radps_m,0.00106162454634154,0.0608266059328607,1,6
speed_-05radps_m,0.00102359339924568,0.0586475817142269,1,6
speed_+05radps_m,0.00148327001912473,0.0849851119741361,1,5
speed_+10radps_m,0.000361240737140998,0.020697569626374,1,6
speed_+20radps_m,0.00147144785679597,0.0843077519679795,1,11
load_0Nm,0.00411833641752327,0.235963295339111,1,7
load_2Nm,0.0041711428441691,0.238988880717084,1,5
