node,phi_m_rad,shadow_e_rad,active_e_rad,reference_e_rad,valid,node_weight,node_hits
0,0,0.141811530045377,0.13977011423683,0.146134809871887,1,968.212656109787,1822
1,0.0490873852123405,0.141489840727545,0.139273362316552,0.146059866330501,1,967.340522604046,1825
2,0.098174770424681,0.141727334787283,0.139514368446905,0.146141489040895,1,967.464352572773,1826
3,0.147262155637022,0.141563077925085,0.139464368658941,0.14607681422366,1,967.838332694081,1939
4,0.196349540849362,0.141805718904825,0.139718651096639,0.146206281717618,1,967.216191806699,1818
5,0.245436926061703,0.141571817882429,0.139384156702495,0.146040637612187,1,967.963302245389,1943
6,0.294524311274043,0.141611462046241,0.139456216035593,0.146019290206157,1,967.838359370654,1822
7,0.343611696486384,0.141543375096193,0.139492158278373,0.14599783337142,1,967.588961877728,1823
8,0.392699081698724,0.14137741907817,0.139178307342673,0.145928062098907,1,967.464869463503,1822
9,0.441786466911065,0.141708256923647,0.139580200528787,0.146139948664358,1,967.341154214409,1940
10,0.490873852123405,0.141569812916183,0.13937229849258,0.146050670048692,1,967.464613358874,1945
11,0.539961237335746,0.14155345180037,0.139370747594903,0.146044169705851,1,967.963096437306,1823
12,0.589048622548086,0.141653389488124,0.139489143861539,0.146025368275115,1,967.340721531593,1938
13,0.638136007760427,0.141190968619921,0.139026610016404,0.145864921194188,1,967.59000891784,1822
14,0.687223392972767,0.141955185249007,0.139761355264156,0.146306726893622,1,966.843752136802,1937
15,0.736310778185108,0.141768549460137,0.139595880780699,0.146161400748317,1,968.585359620898,1826
16,0.785398163397448,0.141426937809996,0.139303941745088,0.145931006525984,1,967.339332756999,1823
17,0.834485548609789,0.141698382284917,0.139540772987854,0.146118086113589,1,967.713959913452,1823
18,0.883572933822129,0.141768700891666,0.13962835319485,0.146198354536119,1,968.087498436647,1938
19,0.93266031903447,0.141667647158918,0.139345193881013,0.146098555798149,1,967.338652080132,1821
20,0.98174770424681,0.141894418944627,0.139781847555046,0.146316372267445,1,967.839379169074,1826
21,1.03083508945915,0.141400713887981,0.139144519994932,0.145948239200915,1,968.211087574595,1937
22,1.07992247467149,0.141377497273216,0.139389043926457,0.145896171197126,1,967.090083624627,1819
23,1.12900985988383,0.141746860745134,0.139544712980313,0.146145261110608,1,967.964907584318,1824
