node,phi_m_rad,shadow_e_rad,active_e_rad,reference_e_rad,valid,node_weight,node_hits
0,0,0.14162510576829,0.139514503787959,0.146082985035002,1,1935.36577690239,3766
1,0.098174770424681,0.141613705750109,0.139403225060169,0.146104913396233,1,1935.05378022183,3877
2,0.196349540849362,0.141715641254872,0.139621582960993,0.14613247711373,1,1935.11700927644,3882
3,0.294524311274043,0.141580705270391,0.139432820465295,0.146019264914115,1,1935.61449143222,3766
4,0.392699081698724,0.141463289948044,0.139332123891095,0.14599847200199,1,1934.92992750957,3763
5,0.490873852123405,0.141668302339154,0.139479377494353,0.146071358909524,1,1935.11673868473,3878
6,0.589048622548086,0.141422028817674,0.139260940948164,0.145989957548595,1,1935.11727420916,3763
7,0.687223392972767,0.141793515494027,0.139598963190711,0.146159887680204,1,1934.93143640617,3762
8,0.785398163397448,0.141527622799018,0.139402504724477,0.146035423507535,1,1935.48899252417,3766
9,0.883572933822129,0.141757465869957,0.139563722712216,0.146153351734639,1,1935.61380443344,3761
10,0.98174770424681,0.14174485297209,0.139514195629447,0.146169872656978,1,1935.61424899643,3877
11,1.07992247467149,0.141417075238971,0.139358295455819,0.145971493110425,1,1935.17808120409,3761
12,1.17809724509617,0.141613035792435,0.139335532559306,0.146024552422787,1,1935.55178226879,3764
13,1.27627201552085,0.141517677134692,0.139451510267983,0.146019952339394,1,1935.73829647533,3763
14,1.37444678594553,0.141625726800599,0.139385636764427,0.146042338728555,1,1935.67616684051,3999
15,1.47262155637022,0.141378039644551,0.139179304491859,0.145910994070216,1,1935.17759856938,3762
16,1.5707963267949,0.141657352308697,0.139484784797705,0.146067202225579,1,1935.24183485206,3760
17,1.66897109721958,0.141608849292128,0.139330544737976,0.146041635681844,1,1935.86253494824,3764
18,1.76714586764426,0.141444868779236,0.139281483013644,0.145935043203991,1,1936.11028635592,3761
19,1.86532063806894,0.141531980428745,0.139264731869338,0.146015970227922,1,1935.5516698201,3761
20,1.96349540849362,0.141798158559037,0.139577908230027,0.146187981756564,1,1936.11072936036,3769
21,2.0616701789183,0.141599862432906,0.13943567262087,0.146077428578246,1,1936.42008288645,3999
22,2.15984494934298,0.141572912893088,0.139379094499614,0.146009052212637,1,1935.98636811381,3763
23,2.25801971976766,0.141512795662592,0.139299479269768,0.145941892229921,1,1935.36418186104,3761
24,2.35619449019234,0.141342827044464,0.139076394155404,0.1458265840157,1,1935.86240727456,3759
25,2.45436926061703,0.141440153410773,0.139290053350146,0.145906617362507,1,1935.48976241793,3764
26,2.55254403104171,0.141663500047379,0.139497858513741,0.146042605109385,1,1935.48941188761,3765
27,2.65071880146639,0.141454449546091,0.139246277009178,0.14594365680047,1,1935.6133938365,3880
28,2.74889357189107,0.141639506946659,0.139421566771848,0.146021739780704,1,1936.2356491145,3764
29,2.84706834231575,0.141333301886321,0.139113019564353,0.145860714497873,1,1935.42567778385,3885
30,2.94524311274043,0.141386188790558,0.139207891794665,0.145887905275954,1,1936.23581202076,3766
31,3.04341788316511,0.141500752477362,0.139229617644736,0.14596058693299,1,1935.92383528536,3761
32,3.14159265358979,0.141551827556578,0.139423818224641,0.14596994692853,1,1936.23519496381,3765
33,3.23976742401447,0.141332502474644,0.139084153038285,0.145859609094618,1,1936.42028864006,3766
34,3.33794219443916,0.141468829685783,0.139174028647874,0.14586407666817,1,1936.11031265868,3880
35,3.43611696486384,0.141318803920393,0.139140459105842,0.145787439566781,1,1936.04796562298,3883
36,3.53429173528852,0.141429432407328,0.139262767622283,0.145899917247483,1,1936.29647115276,3765
37,3.6324665057132,0.141468154712641,0.139121458441965,0.145915702613478,1,1936.85674287902,3767
38,3.73064127613788,0.141371510240155,0.139191047542968,0.145866790271378,1,1935.92200292589,3880
