node,phi_m_rad,shadow_e_rad,active_e_rad,reference_e_rad,valid,update_hits,effective_weight,innovation_variance
0,0,0.071086088892948,0.0699602300497659,0.0758696657944137,1,3149,1617.64598918007,1.13885695199247e-07
1,0.098174770424681,0.105441964175357,0.104427846203562,0.110945394879258,1,3346,1668.7432608337,1.20408228587138e-07
2,0.196349540849362,0.13842008068555,0.135858567374447,0.142618125010304,1,3492,1737.47388874012,1.29957388368355e-07
3,0.294524311274043,0.165921829326439,0.162204570692438,0.169445709159238,1,3544,1822.82461092803,1.52100882534856e-07
4,0.392699081698724,0.186189845012115,0.182930653471541,0.191659540605051,1,3715,1912.52340784696,1.68265020737377e-07
5,0.490873852123405,0.205602880819758,0.201811343291748,0.209396359896922,1,4008,2001.03912214668,1.71317117285488e-07
6,0.589048622548086,0.218205191552216,0.213312013696708,0.2219106088964,1,4043,2081.54202984629,1.90122465747608e-07
7,0.687223392972767,0.225683446215303,0.221710082860574,0.229774728491228,1,4153,2136.38020473488,2.0230438294665e-07
8,0.785398163397448,0.227033809180084,0.223259793884938,0.232424246360601,1,4210,2166.14116456105,2.13591281181021e-07
9,0.883572933822129,0.227521639111105,0.221729032419163,0.230787125461994,1,4204,2162.81071647718,1.97545872583044e-07
10,0.98174770424681,0.219817743837921,0.216021181549848,0.225251131182646,1,4272,2135.99416340956,1.80935622460417e-07
11,1.07992247467149,0.212376183858674,0.207598873298496,0.216248325600934,1,4058,2087.17388691528,1.84297107142029e-07
12,1.17809724509617,0.200288198669954,0.196277041618566,0.204605494680599,1,3954,2031.83764891459,1.77589200467668e-07
13,1.27627201552085,0.185725578845311,0.181225997249481,0.190136570678017,1,3824,1967.4860354166,1.66440260430425e-07
14,1.37444678594553,0.170269036114173,0.166023286326641,0.174372010204357,1,3934,1902.3658972489,1.42688094194327e-07
15,1.47262155637022,0.153503251788171,0.150935242649429,0.159012590468882,1,3593,1849.59619108188,1.48633794022136e-07
16,1.5707963267949,0.137516673494194,0.135085546483837,0.143289960438036,1,3502,1802.32838636897,1.37853614998331e-07
17,1.66897109721958,0.121925335826897,0.120122106910733,0.128403905123616,1,3426,1761.32135061213,1.36826472109417e-07
18,1.76714586764426,0.110027298368756,0.10786555152006,0.115235391755108,1,3366,1732.12219980622,1.29044929260545e-07
19,1.86532063806894,0.0979975231400011,0.0957111848513084,0.103408868749712,1,3316,1706.01723810165,1.23533476974916e-07
20,1.96349540849362,0.0900679717024954,0.0866963369910511,0.0938663999552152,1,3285,1688.86566429053,1.22842209240686e-07
21,2.0616701789183,0.0814535100146682,0.0790888945309,0.0865702532992128,1,3457,1674.87918330843,1.10857893015866e-07
22,2.15984494934298,0.0761352434717157,0.0745801947143446,0.0817158904415944,1,3238,1667.17468716416,1.20559483390369e-07
23,2.25801971976766,0.0733928653547262,0.0713346037575307,0.0788273028315387,1,3229,1661.20754075703,1.19981463711984e-07
24,2.35619449019234,0.0724473292818354,0.0704704598860787,0.0778516644230959,1,3223,1659.59543169211,1.2133661686806e-07
25,2.45436926061703,0.0730327682849887,0.0713474352408143,0.0782936609820709,1,3220,1658.35210695972,1.20336741664594e-07
26,2.55254403104171,0.0750735544915245,0.073424437773771,0.0800875335644107,1,3229,1659.97261561306,1.13199403532988e-07
27,2.65071880146639,0.0774685282656722,0.0759941714728104,0.0822997365537976,1,3332,1663.27045108804,1.18995250923641e-07
