node,phi_m_rad,shadow_e_rad,active_e_rad,reference_e_rad,valid
0,0,0.166575931799201,0.164252405194711,0.17419944108414,1
1,0.098174770424681,0.16633769168633,0.164260150162794,0.174101505300131,1
2,0.196349540849362,0.167181274928164,0.164290428164996,0.174192354708636,1
3,0.294524311274043,0.1668791371707,0.164159220682514,0.174198548366695,1
4,0.392699081698724,0.166598635264471,0.16410285711447,0.174258879142573,1
5,0.490873852123405,0.167253511336425,0.164454231587393,0.174247361543643,1
6,0.589048622548086,0.167852563305586,0.164696339010065,0.174149132663163,1
7,0.687223392972767,0.167352588375925,0.16403455329226,0.174048260247357,1
8,0.785398163397448,0.167756139852446,0.164891532877195,0.174330984657804,1
9,0.883572933822129,0.167352108534773,0.164648079690247,0.174129295082534,1
10,0.98174770424681,0.166177679857126,0.164398424545395,0.174085326329097,1
11,1.07992247467149,0.16623827790374,0.164240959384569,0.174256459178927,1
12,1.17809724509617,0.16682308613183,0.164434626180808,0.17433637411612,1
13,1.27627201552085,0.166213015160142,0.164515009310511,0.174547206036398,1
14,1.37444678594553,0.16573717938473,0.164513219390088,0.174396431243608,1
15,1.47262155637022,0.167142972669228,0.164414970472144,0.174306679930052,1
16,1.5707963267949,0.167499373215493,0.164567656430304,0.174344421744421,1
17,1.66897109721958,0.166922761585197,0.164673109462721,0.174383948286365,1
18,1.76714586764426,0.166699882973832,0.164560228067328,0.174404296198756,1
19,1.86532063806894,0.166799243880956,0.164874329900098,0.174474003224279,1
20,1.96349540849362,0.166435838237394,0.1644090734722,0.174387176231232,1
21,2.0616701789183,0.166752676761921,0.164853284943568,0.17443002164312,1
22,2.15984494934298,0.165835442690806,0.16426556302997,0.174295666701973,1
23,2.25801971976766,0.167303196619397,0.164869409674815,0.174370920866143,1
24,2.35619449019234,0.167864407208472,0.164970075369356,0.174442441222489,1
25,2.45436926061703,0.166113429322102,0.164192239760718,0.174129400238181,1
26,2.55254403104171,0.166918320803113,0.164889793156667,0.174437870401302,1
27,2.65071880146639,0.166701812413183,0.164528118770443,0.17433966344215,1
28,2.74889357189107,0.167412233314249,0.165039869324473,0.174351850251762,1
29,2.84706834231575,0.166944301472381,0.164344273126466,0.174214162910227,1
30,2.94524311274043,0.167377661835135,0.165223911043463,0.174357098065503,1
31,3.04341788316511,0.166507557732633,0.164035734020935,0.17418107693347,1
32,3.14159265358979,0.166728661219795,0.165098934706545,0.174339739315033,1
33,3.23976742401447,0.16585273185652,0.164469257907699,0.174381040239388,1
34,3.33794219443916,0.166668017470191,0.164400851475027,0.174288457331276,1
35,3.43611696486384,0.16652844701649,0.164709262106196,0.174235671757465,1
36,3.53429173528852,0.166903799694292,0.164052759339161,0.174229191774753,1
37,3.6324665057132,0.167137777405265,0.164778570126953,0.174096714900117,1
38,3.73064127613788,0.166898528554417,0.164186130171055,0.174144106192595,1
39,3.82881604656256,0.166673945626989,0.165146865265377,0.174260183892423,1
40,3.92699081698724,0.167850602752703,0.164530958925587,0.17424632078172,1
41,4.02516558741192,0.167281660455107,0.164340296265253,0.174123609118087,1
42,4.1233403578366,0.16656108271704,0.16498537369118,0.174254455794472,1
43,4.22151512826128,0.167244629264572,0.164866020159561,0.174252587185494,1
44,4.31968989868597,0.16713178746967,0.164155411171391,0.174135446406353,1
45,4.41786466911065,0.166767580672419,0.164637970821643,0.174148785306262,1
46,4.51603943953533,0.166659934411869,0.164603459313003,0.174236426741285,1
47,4.61421420996001,0.16658263016898,0.16466629721947,0.174215754671453,1
48,4.71238898038469,0.167886693557867,0.16472042193451,0.174291747313624,1
49,4.81056375080937,0.167395836425638,0.164069641624121,0.174138808293754,1
50,4.90873852123405,0.166344700981964,0.164064911857191,0.173903071014831,1
51,5.00691329165873,0.168162616888422,0.164137216386587,0.174127071296418,1
52,5.10508806208341,0.167705777673686,0.164791076583423,0.174308503170111,1
53,5.20326283250809,0.166518873199498,0.163929788783194,0.174060537468556,1
54,5.30143760293278,0.167893182877239,0.164968768774119,0.174119497062718,1
55,5.39961237335746,0.166650163954249,0.164113735070888,0.174043401187019,1
56,5.49778714378214,0.166743780867224,0.164474002801595,0.174082460513473,1
57,5.59596191420682,0.16672681177834,0.164051369660265,0.17402473722169,1
58,5.6941366846315,0.167288175481373,0.164658467953967,0.173938194073153,1
59,5.79231145505618,0.16774611485824,0.164354040107193,0.17389129812182,1
60,5.89048622548086,0.16722504215947,0.164551944154988,0.173955040044931,1
61,5.98866099590554,0.166751086532347,0.164259964191091,0.174004657415092,1
62,6.08683576633022,0.166905823726796,0.16430117659668,0.174028846579718,1
63,6.18501053675491,0.166314454880253,0.164076068707457,0.174018405881606,1
