node,phi_m_rad,reference_e_rad,zero_noise_shadow_e_rad,zero_noise_active_e_rad,noisy_shadow_e_rad,noisy_active_e_rad
0,0,0.0758696657944137,0.0706192797389751,0.0698393625609549,0.071086088892948,0.0699602300497659
1,0.098174770424681,0.110945394879258,0.105889515800494,0.10448642523063,0.105441964175357,0.104427846203562
2,0.196349540849362,0.142618125010304,0.13810288077405,0.135896686560332,0.13842008068555,0.135858567374447
3,0.294524311274043,0.169445709159238,0.165554022014242,0.162166218709713,0.165921829326439,0.162204570692438
4,0.392699081698724,0.191659540605051,0.185915440933376,0.183278315748337,0.186189845012115,0.182930653471541
5,0.490873852123405,0.209396359896922,0.205832648214018,0.201740270553311,0.205602880819758,0.201811343291748
6,0.589048622548086,0.2219106088964,0.217553326923669,0.21307234434363,0.218205191552216,0.213312013696708
7,0.687223392972767,0.229774728491228,0.226186480455657,0.221612956320937,0.225695493004312,0.221710082860574
8,0.785398163397448,0.232424246360601,0.227979015028693,0.223524842589422,0.227143433593096,0.223259793884938
9,0.883572933822129,0.230787125461994,0.226048575641066,0.221937263542684,0.226065722419216,0.221729032419163
10,0.98174770424681,0.225251131182646,0.22055500110725,0.216425485136779,0.219631989495191,0.216021181549848
11,1.07992247467149,0.216248325600934,0.213003648294799,0.20786188302165,0.211796577046743,0.207598873298496
12,1.17809724509617,0.204605494680599,0.200457500047906,0.196101850637174,0.200912515588713,0.196277041618566
13,1.27627201552085,0.190136570678017,0.185004527528555,0.181276502780219,0.18496588139413,0.181225997249481
14,1.37444678594553,0.174372010204357,0.169012878975301,0.165523063269562,0.169138235469934,0.166023286326641
15,1.47262155637022,0.159012590468882,0.153971710210056,0.150677185055163,0.154177068142519,0.150935242649429
16,1.5707963267949,0.143289960438036,0.136902073366862,0.134401069564542,0.138039297741362,0.135085546483837
17,1.66897109721958,0.128403905123616,0.122916240314694,0.120677593186804,0.121962780771108,0.120122106910733
18,1.76714586764426,0.115235391755108,0.10936397787101,0.107129851598545,0.109941967838308,0.10786555152006
19,1.86532063806894,0.103408868749712,0.0981757939145688,0.0960869751300703,0.097375066681676,0.0957111848513084
20,1.96349540849362,0.0938663999552152,0.0883703234626181,0.0862695262357713,0.0887253138744003,0.0866963369910511
21,2.0616701789183,0.0865702532992128,0.0808584964400748,0.0792924488894854,0.0803415731490191,0.0790888945309
22,2.15984494934298,0.0817158904415944,0.0766714153550309,0.074614371340142,0.0765763553534854,0.0745801947143446
23,2.25801971976766,0.0788273028315387,0.0729463668011064,0.0716312857340936,0.072502982087946,0.0713346037575307
24,2.35619449019234,0.0778516644230959,0.071901078358262,0.0707290555985332,0.0711077408482728,0.0704704598860787
25,2.45436926061703,0.0782936609820709,0.0725773644026016,0.0713322578187783,0.0725732499728701,0.0713474352408143
26,2.55254403104171,0.0800875335644107,0.0745483841178972,0.0733391555861522,0.0750231385802101,0.073424437773771
27,2.65071880146639,0.0822997365537976,0.0773764177462425,0.0756841133252873,0.0778111018742256,0.0759941714728104
28,2.74889357189107,0.0841321005750652,0.0790923858525472,0.0773277655160123,0.079439714641595,0.0771232781080599
29,2.84706834231575,0.085133588019364,0.0804329784041801,0.0788868120937845,0.0801653423724939,0.0788524587492464
