node,phi_m_rad,signed_noise_floor_e_rad,absolute_noise_floor_e_rad,zero_noise_node_error_e_rad,noisy_node_error_e_rad
0,0,0.00012086748881103,0.00012086748881103,-0.00603030323345888,-0.00590943574464785
1,0.098174770424681,-5.85790270675735e-05,5.85790270675735e-05,-0.00645896964862887,-0.00651754867569644
2,0.196349540849362,-3.81191858851437e-05,3.81191858851437e-05,-0.00672143844997214,-0.00675955763585728
3,0.294524311274043,3.835198272506e-05,3.835198272506e-05,-0.00727949044952481,-0.00724113846679975
4,0.392699081698724,-0.000347662276795224,0.000347662276795224,-0.00838122485671416,-0.00872888713350939
5,0.490873852123405,7.10727384373722e-05,7.10727384373722e-05,-0.00765608934361087,-0.00758501660517349
6,0.589048622548086,0.000239669353077426,0.000239669353077426,-0.00883826455276998,-0.00859859519969255
7,0.687223392972767,9.71265396363941e-05,9.71265396363941e-05,-0.00816177217029063,-0.00806464563065423
8,0.785398163397448,-0.000265048704483878,0.000265048704483878,-0.00889940377117932,-0.00916445247566319
9,0.883572933822129,-0.000208231123521835,0.000208231123521835,-0.00884986191930961,-0.00905809304283145
10,0.98174770424681,-0.000404303586930221,0.000404303586930221,-0.00882564604586761,-0.00922994963279783
11,1.07992247467149,-0.000263009723153573,0.000263009723153573,-0.00838644257928431,-0.00864945230243788
12,1.17809724509617,0.00017519098139207,0.00017519098139207,-0.00850364404342582,-0.00832845306203375
13,1.27627201552085,-5.05055307377655e-05,5.05055307377655e-05,-0.00886006789779819,-0.00891057342853596
14,1.37444678594553,0.000500223057078947,0.000500223057078947,-0.00884894693479557,-0.00834872387771663
15,1.47262155637022,0.000258057594265143,0.000258057594265143,-0.008335405413719,-0.00807734781945385
16,1.5707963267949,0.000684476919295518,0.000684476919295518,-0.00888889087349371,-0.00820441395419819
17,1.66897109721958,-0.000555486276070591,0.000555486276070591,-0.00772631193681197,-0.00828179821288257
18,1.76714586764426,0.000735699921515093,0.000735699921515093,-0.00810554015656294,-0.00736984023504785
19,1.86532063806894,-0.000375790278761903,0.000375790278761903,-0.007321893619642,-0.0076976838984039
20,1.96349540849362,0.000426810755279866,0.000426810755279866,-0.00759687371944393,-0.00717006296416406
21,2.0616701789183,-0.000203554358585351,0.000203554358585351,-0.00727780440972747,-0.00748135876831282
22,2.15984494934298,-3.41766257973553e-05,3.41766257973553e-05,-0.00710151910145242,-0.00713569572724977
23,2.25801971976766,-0.000296681976562893,0.000296681976562893,-0.00719601709744508,-0.00749269907400797
24,2.35619449019234,-0.000258595712454429,0.000258595712454429,-0.0071226088245627,-0.00738120453701713
25,2.45436926061703,1.51774220359807e-05,1.51774220359807e-05,-0.00696140316329261,-0.00694622574125663
26,2.55254403104171,8.52821876188292e-05,8.52821876188292e-05,-0.00674837797825853,-0.0066630957906397
27,2.65071880146639,0.000310058147523107,0.000310058147523107,-0.00661562322851031,-0.0063055650809872
28,2.74889357189107,-0.000204487407952383,0.000204487407952383,-0.0068043350590529,-0.00700882246700528
