training_condition,evaluation_condition,baseline_control_angle_rmse_e_deg,active_control_angle_rmse_e_deg,control_angle_improvement,control_angle_gate_basis,id_rms_improvement,prediction_residual_improvement,torque_ripple_improvement,iq_tracking_change,mean_torque_change
zero_noise,zero_noise,11.27674149704,2.15283575674546,0.809090617417226,percentage,0.86784873532263,0.602438677819002,0.93825118115652,-0.933271947588919,0.00219734318958851
zero_noise,noise95_pm0p1A,11.27674149704,2.15283575674546,0.809090617417226,percentage,0.865359020195673,0.368812787126576,0.93825118115652,-0.792026262791788,0.00219734318958851
noise95_pm0p1A,zero_noise,11.27674149704,2.15303011595279,0.809073382012177,percentage,0.867816075795304,0.601983632253571,0.938273941307159,-0.932983780594493,0.00219776223074329
noise95_pm0p1A,noise95_pm0p1A,11.27674149704,2.15303011595279,0.809073382012177,percentage,0.865281617661446,0.368078208197128,0.938273941307159,-0.791924466809911,0.00219776223074329
