condition,fusion_event,time_s,mechanical_cycles,shadow_rmse_e_deg,active_rmse_e_deg
zero_noise,1,1.63855,1.00000000000009,1.36852954247889,8.54196289003322
zero_noise,2,1.9903,1.50000000000013,0.99901936280583,7.21821315265785
zero_noise,3,2.2762,2.00097656250006,0.394768591459233,5.97318586375851
zero_noise,4,2.6278,2.50195312500003,0.396673832297108,4.86644366843553
zero_noise,5,2.9129,3.00292968749996,0.309995917026416,3.89945045263693
zero_noise,6,3.26415,3.50390624999993,0.308387841058077,3.11793666939831
zero_noise,7,3.54795,4.0039062500001,0.291416502934737,2.49217340101433
zero_noise,8,3.89825,4.50390625000032,0.292086954209433,1.99170742020329
zero_noise,9,4.18225,5.00488281250022,0.29152194966204,1.59346552555505
zero_noise,10,4.5326,5.50585937500003,0.289314801787297,1.27844341054015
zero_noise,11,4.81605,6.00683593749981,0.290286910738983,1.02942250127154
zero_noise,12,5.1663,6.50781249999961,0.287155686976063,0.832839028665463
zero_noise,13,5.44915,7.00878906249939,0.288838121404381,0.680758784901602
zero_noise,14,5.7994,7.50976562499919,0.289523035946901,0.563913603801628
zero_noise,15,6.08175,8.01074218749896,0.289394117645282,0.476240171472867
zero_noise,16,6.4321,8.51171874999877,0.296080288465506,0.412508364710255
zero_noise,17,6.71345,9.01171874999903,0.297218298299738,0.367810216650268
zero_noise,18,7.0626,9.51171874999938,0.287295455761328,0.337024967632965
noise95_pm0p1A,1,1.63855,1.00000000000009,1.36039066204834,8.54205461372233
noise95_pm0p1A,2,1.9903,1.50000000000013,0.996819152620515,7.21826338190733
noise95_pm0p1A,3,2.2762,2.00097656250006,0.403090061542309,5.9745177845942
noise95_pm0p1A,4,2.6278,2.50195312500003,0.404282405786965,4.86843263402511
noise95_pm0p1A,5,2.9129,3.00292968749996,0.312017491302276,3.90185875027283
noise95_pm0p1A,6,3.26415,3.50390624999993,0.30786791522294,3.1211514045875
noise95_pm0p1A,7,3.54795,4.0039062500001,0.287772659708229,2.49518904129585
noise95_pm0p1A,8,3.89825,4.50390625000032,0.293067910798841,1.99399050716541
noise95_pm0p1A,9,4.18225,5.00488281250022,0.29762015754782,1.59625171092297
noise95_pm0p1A,10,4.5326,5.50585937500003,0.293479489365267,1.2812194458557
noise95_pm0p1A,11,4.81605,6.00683593749981,0.293197643641953,1.03238397128237
noise95_pm0p1A,12,5.1663,6.50781249999961,0.287786013257014,0.835406817040116
noise95_pm0p1A,13,5.44915,7.00878906249939,0.283397966471814,0.68153850406543
noise95_pm0p1A,14,5.7994,7.50976562499919,0.282261981819447,0.562950321042367
noise95_pm0p1A,15,6.08175,8.01074218749896,0.287423452637858,0.475160386883427
noise95_pm0p1A,16,6.4321,8.51171874999877,0.29630561438968,0.41138333911112
noise95_pm0p1A,17,6.71345,9.01171874999903,0.301935760796132,0.367781789157378
noise95_pm0p1A,18,7.0626,9.51171874999938,0.295277013468869,0.337770265582154
