condition,fusion_event,time_s,mechanical_cycles,node,phi_m_rad,shadow_e_rad,active_e_rad,reference_e_rad
zero_noise,1,1.63855,1.00000000000009,0,0,0.0596109417229952,0.011922188344599,0.0758696657944137
zero_noise,1,1.63855,1.00000000000009,1,0.098174770424681,0.0883503078226576,0.0176700615645315,0.110945394879258
zero_noise,1,1.63855,1.00000000000009,2,0.196349540849362,0.116137351098799,0.0232274702197598,0.142618125010304
zero_noise,1,1.63855,1.00000000000009,3,0.294524311274043,0.140698701335922,0.0281397402671843,0.169445709159238
zero_noise,1,1.63855,1.00000000000009,4,0.392699081698724,0.163868255299677,0.0327736510599354,0.191659540605051
zero_noise,1,1.63855,1.00000000000009,5,0.490873852123405,0.182512407371577,0.0349065850398866,0.209396359896922
zero_noise,1,1.63855,1.00000000000009,6,0.589048622548086,0.197009521936988,0.0349065850398866,0.2219106088964
zero_noise,1,1.63855,1.00000000000009,7,0.687223392972767,0.205627398771115,0.0349065850398866,0.229774728491228
zero_noise,1,1.63855,1.00000000000009,8,0.785398163397448,0.208758926596506,0.0349065850398866,0.232424246360601
zero_noise,1,1.63855,1.00000000000009,9,0.883572933822129,0.204674583669722,0.0349065850398866,0.230787125461994
zero_noise,1,1.63855,1.00000000000009,10,0.98174770424681,0.197244899613114,0.0349065850398866,0.225251131182646
zero_noise,1,1.63855,1.00000000000009,11,1.07992247467149,0.18625058425658,0.0349065850398866,0.216248325600934
zero_noise,1,1.63855,1.00000000000009,12,1.17809724509617,0.171951640565623,0.0343903281131246,0.204605494680599
zero_noise,1,1.63855,1.00000000000009,13,1.27627201552085,0.155821285317725,0.031164257063545,0.190136570678017
zero_noise,1,1.63855,1.00000000000009,14,1.37444678594553,0.140129294502145,0.0280258589004289,0.174372010204357
zero_noise,1,1.63855,1.00000000000009,15,1.47262155637022,0.125698157739072,0.0251396315478144,0.159012590468882
zero_noise,1,1.63855,1.00000000000009,16,1.5707963267949,0.111634172753326,0.0223268345506653,0.143289960438036
zero_noise,1,1.63855,1.00000000000009,17,1.66897109721958,0.0988134814705266,0.0197626962941053,0.128403905123616
zero_noise,1,1.63855,1.00000000000009,18,1.76714586764426,0.0873293528863261,0.0174658705772652,0.115235391755108
zero_noise,1,1.63855,1.00000000000009,19,1.86532063806894,0.0757095770194747,0.0151419154038949,0.103408868749712
zero_noise,1,1.63855,1.00000000000009,20,1.96349540849362,0.0682520578162576,0.0136504115632515,0.0938663999552152
zero_noise,1,1.63855,1.00000000000009,21,2.0616701789183,0.0632111923152426,0.0126422384630485,0.0865702532992128
zero_noise,1,1.63855,1.00000000000009,22,2.15984494934298,0.0605378137084796,0.0121075627416959,0.0817158904415944
zero_noise,1,1.63855,1.00000000000009,23,2.25801971976766,0.0585533301718652,0.011710666034373,0.0788273028315387
zero_noise,1,1.63855,1.00000000000009,24,2.35619449019234,0.0570772209863095,0.0114154441972619,0.0778516644230959
zero_noise,1,1.63855,1.00000000000009,25,2.45436926061703,0.0575706308041278,0.0115141261608256,0.0782936609820709
zero_noise,1,1.63855,1.00000000000009,26,2.55254403104171,0.0589125634480848,0.011782512689617,0.0800875335644107
zero_noise,1,1.63855,1.00000000000009,27,2.65071880146639,0.0610364222690464,0.0122072844538093,0.0822997365537976
zero_noise,1,1.63855,1.00000000000009,28,2.74889357189107,0.0622294705457221,0.0124458941091444,0.0841321005750652
zero_noise,1,1.63855,1.00000000000009,29,2.84706834231575,0.0633062594278574,0.0126612518855715,0.085133588019364
zero_noise,1,1.63855,1.00000000000009,30,2.94524311274043,0.0614916331463941,0.0122983266292788,0.0847333299818973
zero_noise,1,1.63855,1.00000000000009,31,3.04341788316511,0.0607266124758729,0.0121453224951746,0.0825350983122363
zero_noise,1,1.63855,1.00000000000009,32,3.14159265358979,0.0555644012539953,0.0111128802507991,0.0780512693753549
