node,shadow_e_rad,active_e_rad
0,0.0682791938365601,0.0680685859801853
1,0.103424223800951,0.102587442644711
2,0.135908366920728,0.13408194829762
3,0.163436169603734,0.160430118362574
4,0.183202816264353,0.180867768986031
5,0.204562646020037,0.199803712235036
6,0.215202525915658,0.210329383462135
7,0.224295846098492,0.219597492245196
8,0.226069399906896,0.221102831446563
9,0.22531160273183,0.219561481782247
10,0.216958725640039,0.213901064420774
11,0.21087453650733,0.206161639303181
12,0.19806903628514,0.193808919957303
13,0.183839215829903,0.179283791454233
14,0.167404267207991,0.163997949138613
15,0.151470262146331,0.148981772829407
16,0.134460144452022,0.132305230526719
17,0.120644709423875,0.119312398425087
18,0.107224633838776,0.105076139809329
19,0.0959248215913394,0.0945820682516635
20,0.0882385630161581,0.0843597454559847
21,0.0794350361415187,0.0775813964443484
22,0.0741184847984413,0.0729312959975777
23,0.0715426008973576,0.0698264802815504
24,0.070941108100118,0.0688481436979448
25,0.0703872683275144,0.0695049311443758
26,0.0727964784789061,0.0714953785650263
27,0.0752791702525881,0.073999627996157
28,0.0770755469463568,0.0755291614067954
29,0.0786398727443525,0.0771787608356964
30,0.0779276879936389,0.076223304949293
31,0.0757672826248213,0.0744397981340462
32,0.0719564040635365,0.0698260102923078
33,0.0646942429558275,0.0624350159334603
34,0.0520791559850236,0.0511791539891324
35,0.0372661411274631,0.0365664689670053
36,0.0197198875460486,0.0192138498873386
37,-0.00273630394483442,-0.00277536692277644
38,-0.0271589893053328,-0.0267939388710362
39,-0.0571626409389936,-0.0552723862281954
40,-0.0849674298252547,-0.0838925802331836
41,-0.117705745745004,-0.117223008089269
42,-0.149917464506658,-0.147262571395713
43,-0.182340366421978,-0.179291429149114
44,-0.213004623469309,-0.209318477492975
45,-0.241723249574964,-0.237120418113449
46,-0.268408577013938,-0.263856456427817
47,-0.290187341721489,-0.284463272478493
48,-0.309137038952222,-0.301593868127533
49,-0.320344567925413,-0.311936495628133
50,-0.326303266868157,-0.317800247053389
51,-0.326219800565522,-0.318144920278541
52,-0.320604975945271,-0.312560003398924
53,-0.306857522153055,-0.30014845408128
54,-0.289641758179864,-0.284265764608934
55,-0.266750478468932,-0.260915353560101
56,-0.237290384139079,-0.232350772732594
57,-0.207182237310686,-0.202633222754812
58,-0.167485351027481,-0.165871971354171
59,-0.129033236930079,-0.127340977619592
60,-0.0886720794230804,-0.0881597539184376
61,-0.0462705368867177,-0.0480160017528281
62,-0.00843748222351095,-0.00776982466578361
63,0.0319630855693619,0.0317092759876489
