node,phi_m_rad,shadow_e_rad,active_e_rad,reference_e_rad,valid,update_hits,effective_weight,innovation_variance
0,0,0.070224216879866,0.0681043428668888,0.0757259422821771,1,1520,807.265583667894,3.463372811423e-08
1,0.0490873852123405,0.0893244176521612,0.0867955677031812,0.0942456209730029,1,1545,819.84347284867,3.77555484856995e-08
2,0.098174770424681,0.10592547163572,0.102546611349588,0.110843489695757,1,1572,833.905473192235,4.11866919260969e-08
3,0.147262155637022,0.121948352674263,0.118471636315707,0.127254093615049,1,1703,849.832102434271,4.35248702707428e-08
4,0.196349540849362,0.137900131185395,0.133861642728696,0.142805448423283,1,1637,867.493208337286,4.97188015476186e-08
5,0.245436926061703,0.152158799711355,0.147542471185173,0.156919151975773,1,1789,890.129258371404,5.06187429272017e-08
6,0.294524311274043,0.165335027898871,0.159930987139437,0.169553871991624,1,1716,911.258574382369,5.7707705463377e-08
7,0.343611696486384,0.176094263911313,0.171161609635851,0.181183119162608,1,1755,933.002814719914,6.24376074644252e-08
8,0.392699081698724,0.186526507759264,0.181808757169066,0.191988164380883,1,1800,957.105241180245,6.57558305609106e-08
9,0.441786466911065,0.195444899516508,0.190316830702623,0.201010265588369,1,1960,977.833518613514,6.55134275179195e-08
10,0.490873852123405,0.204533197152441,0.199090367013756,0.209521956947984,1,2010,1000.30375968829,6.66333490691398e-08
11,0.539961237335746,0.21308150543102,0.207113123971519,0.217160039250947,1,1928,1023.63720630325,7.40733831352361e-08
12,0.589048622548086,0.217390129893424,0.211158748603797,0.222017567555157,1,2092,1042.47792342543,7.10066251708954e-08
13,0.638136007760427,0.220983372076714,0.215383804877043,0.2263098577922,1,1988,1054.49100653849,7.69280400352254e-08
14,0.687223392972767,0.225570154402417,0.219804987831289,0.230272604075044,1,2144,1068.99930747516,7.38540555628313e-08
15,0.736310778185108,0.227615072401813,0.220985583436396,0.232171146177369,1,2038,1080.27078798095,7.86738544443957e-08
16,0.785398163397448,0.227172230523399,0.221000689610388,0.232650856208697,1,2042,1083.96680773528,7.91414092926313e-08
17,0.834485548609789,0.22761037816842,0.220514493005945,0.232223276698065,1,2042,1084.07792567058,7.82714008561409e-08
18,0.883572933822129,0.2257575860543,0.21943357691429,0.231003850728098,1,2169,1082.46081911007,7.35762151429822e-08
19,0.93266031903447,0.224809381131005,0.217354602153148,0.228905183324914,1,2030,1076.62186906364,7.5511157192348e-08
20,0.98174770424681,0.220719284993171,0.214053177136159,0.225503035208003,1,2016,1069.17615531268,7.52979590507271e-08
21,1.03083508945915,0.215948929846959,0.209782641768133,0.221019335125724,1,2110,1057.01414713012,7.04517162596837e-08
22,1.07992247467149,0.211348661045974,0.203970162596386,0.216090554015044,1,1963,1043.11861612912,7.24620507261532e-08
23,1.12900985988383,0.208270329516357,0.200936350670559,0.211675979875632,1,1948,1031.09639444222,7.02535734894532e-08
24,1.17809724509617,0.198536067461889,0.192663042854446,0.204405926145347,1,1917,1016.69178262253,6.90410589589368e-08
25,1.22718463030851,0.193148570864778,0.186349399824994,0.197714381334626,1,1883,999.195338141893,6.56804182808751e-08
26,1.27627201552085,0.185670052292459,0.179411519684407,0.190297463680353,1,1852,983.805913695258,6.36692963574352e-08
27,1.32535940073319,0.177097497147002,0.170473890694115,0.181987663931119,1,1941,968.164905300792,5.75501104254536e-08
28,1.37444678594553,0.169321721461933,0.162974999415051,0.17411467339649,1,1792,949.284517715754,5.79212952465827e-08
29,1.42353417115788,0.161843422051731,0.156435346919688,0.167031196079542,1,1878,937.997853765508,5.39259994801799e-08
30,1.47262155637022,0.153256224132531,0.147929167414678,0.158836473572543,1,1744,924.704647875885,5.55116469404981e-08
31,1.52170894158256,0.145317264162269,0.140485753790251,0.151119754746258,1,1715,911.785232646476,5.25954770745589e-08
32,1.5707963267949,0.137882225255842,0.132782005553968,0.143291105851474,1,1699,901.103287099127,5.01768835441554e-08
33,1.61988371200724,0.129214204841171,0.125320532946627,0.135271394851196,1,1677,890.66496589322,4.85641256026102e-08
34,1.66897109721958,0.121925840426394,0.117610936303032,0.127863256479804,1,1660,879.601425403377,4.5919125891568e-08
35,1.71805848243192,0.117247943407992,0.113202081127931,0.122484886920523,1,1644,872.774884524289,4.45366998911916e-08
36,1.76714586764426,0.108615052281593,0.104696126966402,0.114819194978566,1,1635,866.683244659769,4.32079141947071e-08
37,1.8162332528566,0.103814369749961,0.0994235644315331,0.108702284170397,1,1616,858.103025768613,4.1353404684178e-08
38,1.86532063806894,0.0979597376649175,0.0943773719912012,0.103261099361909,1,1711,852.760191699265,3.75780601965165e-08
39,1.91440802328128,0.0929074386332362,0.0895593015649838,0.0983517973733102,1,1601,848.41106703616,3.94405737685367e-08
