node,active_e_rad
0,-0.00680867174659686
1,-0.00419882371416734
2,-0.00158897568173782
3,0.0010208723506917
4,0.00363072038312122
5,0.00624056841555074
6,0.00885041644798026
7,0.0114602644804098
8,0.0140701125128393
9,0.0166637960747906
10,0.0192574796367418
11,0.0218511631986931
12,0.0244448467606444
13,0.0270385303225956
14,0.0296322138845469
15,0.0322258974464981
16,0.0348195810084494
17,0.0373464739726439
18,0.0398733669368385
19,0.042400259901033
20,0.0449271528652276
21,0.0474540458294221
22,0.0499809387936166
23,0.0525078317578112
24,0.0550347247220057
25,0.0576311840894985
26,0.0602276434569913
27,0.062824102824484
28,0.0654205621919768
29,0.0680170215594696
30,0.0706134809269624
31,0.0732099402944551
32,0.0758063996619479
33,0.0781418777597608
34,0.0804773558575736
35,0.0828128339553864
36,0.0851483120531993
37,0.0874837901510121
38,0.0898192682488249
39,0.0921547463466378
40,0.0944902244444506
41,0.0967542650892181
42,0.0990183057339856
43,0.101282346378753
44,0.10354638702352
45,0.105810427668288
46,0.108074468313055
47,0.110338508957823
48,0.11260254960259
49,0.114634744720862
50,0.116666939839133
51,0.118699134957404
52,0.120731330075675
53,0.122763525193947
54,0.124795720312218
55,0.126827915430489
56,0.12886011054876
57,0.130966614150981
58,0.133073117753201
59,0.135179621355421
60,0.137286124957641
61,0.139392628559861
62,0.141499132162081
63,0.143605635764301
64,0.145712139366521
65,0.147395282187873
66,0.149078425009226
67,0.150761567830579
68,0.152444710651931
69,0.154127853473284
70,0.155810996294636
71,0.157494139115989
72,0.159177281937341
73,0.160667115733289
74,0.162156949529236
75,0.163646783325184
76,0.165136617121131
77,0.166626450917079
78,0.168116284713026
79,0.169606118508973
80,0.171095952304921
81,0.172670168420713
82,0.174244384536506
83,0.175818600652298
84,0.17739281676809
85,0.178967032883883
86,0.180541248999675
87,0.182115465115467
88,0.18368968123126
89,0.184691538491157
90,0.185693395751055
91,0.186695253010952
92,0.18769711027085
93,0.188698967530748
94,0.189700824790645
95,0.190702682050543
96,0.19170453931044
97,0.192674631962518
98,0.193644724614596
99,0.194614817266674
100,0.195584909918752
101,0.19655500257083
102,0.197525095222908
103,0.198495187874986
104,0.199465280527064
105,0.200031517131286
106,0.200597753735507
107,0.201163990339728
108,0.20173022694395
109,0.202296463548171
110,0.202862700152393
111,0.203428936756614
112,0.203995173360836
113,0.204662308399872
